Id;ActiveDate;EndDate;MSSubClass;MSZoning;LotFrontage;LotArea;Street;Alley;LotShape;LandContour;Utilities;LotConfig;LandSlope;Neighborhood;Condition1;Condition2;BldgType;HouseStyle;OverallQual;OverallCond;YearBuilt;YearRemodAdd;RoofStyle;RoofMatl;Exterior1st;Exterior2nd;MasVnrType;MasVnrArea;ExterQual;ExterCond;Foundation;BsmtQual;BsmtCond;BsmtExposure;BsmtFinType1;BsmtFinSF1;BsmtFinType2;BsmtFinSF2;BsmtUnfSF;Heating;HeatingQC;CentralAir;Electrical;1stFlrSF;2ndFlrSF;LowQualFinSF;BsmtFullBath;BsmtHalfBath;FullBath;HalfBath;BedroomAbvGr;KitchenAbvGr;KitchenQual;TotRmsAbvGrd;Functional;Fireplaces;FireplaceQu;GarageType;GarageYrBlt;GarageFinish;GarageCars;GarageArea;GarageQual;GarageCond;PavedDrive;WoodDeckSF;OpenPorchSF;EnclosedPorch;3SsnPorch;ScreenPorch;PoolArea;PoolQC;Fence;MiscFeature;MiscVal;SaleType;SaleCondition;SalePrice;DateSold
15;2018-02-25;2022-07-04;20.0;rl;0.0;10920;pave;‘’;ir1;lvl;allpub;corner;gtl;names;norm;norm;1fam;1story;6;5;1960;1960;hip;compshg;metalsd;metalsd;brkface;212.0;ta;ta;cblock;ta;ta;no;blq;733;unf;0;520;gasa;ta;y;sbrkr;1253;0;0;1.0;0;1;1.0;2;1;ta;5;typ;1;fa;attchd;1960.0;rfn;1;352;ta;ta;y;0;213;176;0;0;0;‘’;gdwo;0;0;wd;normal;157000.0;2008-05-20
16;2018-02-25;2022-07-05;45.0;rm;51.0;6120;pave;‘’;reg;lvl;allpub;corner;gtl;brkside;norm;norm;1fam;1.5unf;7;8;1929;2001;gable;compshg;wd sdng;wd sdng;none;0.0;ta;ta;brktil;ta;ta;no;unf;0;unf;0;832;gasa;ex;y;fusea;854;0;0;0.0;0;1;0.0;2;1;ta;5;typ;0;‘’;detchd;1991.0;unf;2;576;ta;ta;y;48;112;0;0;0;0;‘’;gdprv;0;0;wd;normal;132000.0;2007-07-20
17;2018-02-25;2022-07-06;20.0;rl;0.0;11241;pave;‘’;ir1;lvl;allpub;culdsac;gtl;names;norm;norm;1fam;1story;6;7;1970;1970;gable;compshg;wd sdng;wd sdng;brkface;180.0;ta;ta;cblock;ta;ta;no;alq;578;unf;0;426;gasa;ex;y;sbrkr;1004;0;0;1.0;0;1;0.0;2;1;ta;5;typ;1;ta;attchd;1970.0;fin;2;480;ta;ta;y;0;0;0;0;0;0;‘’;‘’;shed;700;wd;normal;149000.0;2010-03-20
18;2018-02-25;2022-07-07;90.0;rl;72.0;10791;pave;‘’;reg;lvl;allpub;inside;gtl;sawyer;norm;norm;duplex;1story;4;5;1967;1967;gable;compshg;metalsd;metalsd;none;0.0;ta;ta;slab;‘’;‘’;‘’;‘’;0;‘’;0;0;gasa;ta;y;sbrkr;1296;0;0;0.0;0;2;0.0;2;2;ta;6;typ;0;‘’;carport;1967.0;unf;2;516;ta;ta;y;0;0;0;0;0;0;‘’;‘’;shed;500;wd;normal;90000.0;2006-10-20
19;2018-02-25;2022-07-08;20.0;rl;66.0;13695;pave;‘’;reg;lvl;allpub;inside;gtl;sawyerw;rrae;norm;1fam;1story;5;5;2004;2004;gable;compshg;vinylsd;vinylsd;none;0.0;ta;ta;pconc;ta;ta;no;glq;646;unf;0;468;gasa;ex;y;sbrkr;1114;0;0;1.0;0;1;1.0;3;1;gd;6;typ;0;‘’;detchd;2004.0;unf;2;576;ta;ta;y;0;102;0;0;0;0;‘’;‘’;0;0;wd;normal;159000.0;2008-06-20
20;2018-02-25;2022-07-09;20.0;rl;70.0;7560;pave;‘’;reg;lvl;allpub;inside;gtl;names;norm;norm;1fam;1story;5;6;1958;1965;hip;compshg;brkface;plywood;none;0.0;ta;ta;cblock;ta;ta;no;lwq;504;unf;0;525;gasa;ta;y;sbrkr;1339;0;0;0.0;0;1;0.0;3;1;ta;6;min1;0;‘’;attchd;1958.0;unf;1;294;ta;ta;y;0;0;0;0;0;0;‘’;mnprv;0;0;cod;abnorml;139000.0;2009-05-20
21;2018-02-25;2022-07-10;60.0;rl;101.0;14215;pave;‘’;ir1;lvl;allpub;corner;gtl;nridght;norm;norm;1fam;2story;8;5;2005;2006;gable;compshg;vinylsd;vinylsd;brkface;380.0;gd;ta;pconc;ex;ta;av;unf;0;unf;0;1158;gasa;ex;y;sbrkr;1158;1218;0;0.0;0;3;1.0;4;1;gd;9;typ;1;gd;builtin;2005.0;rfn;3;853;ta;ta;y;240;154;0;0;0;0;‘’;‘’;0;0;new;partial;325300.0;2006-11-20
22;2018-02-25;2022-07-11;45.0;rm;57.0;7449;pave;grvl;reg;bnk;allpub;inside;gtl;idotrr;norm;norm;1fam;1.5unf;7;7;1930;1950;gable;compshg;wd sdng;wd sdng;none;0.0;ta;ta;pconc;ta;ta;no;unf;0;unf;0;637;gasa;ex;y;fusef;1108;0;0;0.0;0;1;0.0;3;1;gd;6;typ;1;gd;attchd;1930.0;unf;1;280;ta;ta;n;0;0;205;0;0;0;‘’;gdprv;0;0;wd;normal;139400.0;2007-06-20
23;2018-02-25;2022-07-12;20.0;rl;75.0;9742;pave;‘’;reg;lvl;allpub;inside;gtl;collgcr;norm;norm;1fam;1story;8;5;2002;2002;hip;compshg;vinylsd;vinylsd;brkface;281.0;gd;ta;pconc;gd;ta;no;unf;0;unf;0;1777;gasa;ex;y;sbrkr;1795;0;0;0.0;0;2;0.0;3;1;gd;7;typ;1;gd;attchd;2002.0;rfn;2;534;ta;ta;y;171;159;0;0;0;0;‘’;‘’;0;0;wd;normal;230000.0;2008-09-20
24;2018-02-25;2022-07-13;120.0;rm;44.0;4224;pave;‘’;reg;lvl;allpub;inside;gtl;meadowv;norm;norm;twnhse;1story;5;7;1976;1976;gable;compshg;cemntbd;cmentbd;none;0.0;ta;ta;pconc;gd;ta;no;glq;840;unf;0;200;gasa;ta;y;sbrkr;1060;0;0;1.0;0;1;0.0;3;1;ta;6;typ;1;ta;attchd;1976.0;unf;2;572;ta;ta;y;100;110;0;0;0;0;‘’;‘’;0;0;wd;normal;129900.0;2007-06-20
25;2018-02-25;2022-07-14;20.0;rl;0.0;8246;pave;‘’;ir1;lvl;allpub;inside;gtl;sawyer;norm;norm;1fam;1story;5;8;1968;2001;gable;compshg;plywood;plywood;none;0.0;ta;gd;cblock;ta;ta;mn;rec;188;alq;668;204;gasa;ex;y;sbrkr;1060;0;0;1.0;0;1;0.0;3;1;gd;6;typ;1;ta;attchd;1968.0;unf;1;270;ta;ta;y;406;90;0;0;0;0;‘’;mnprv;0;0;wd;normal;154000.0;2010-05-20
26;2018-02-25;2022-07-15;20.0;rl;110.0;14230;pave;‘’;reg;lvl;allpub;corner;gtl;nridght;norm;norm;1fam;1story;8;5;2007;2007;gable;compshg;vinylsd;vinylsd;stone;640.0;gd;ta;pconc;gd;ta;no;unf;0;unf;0;1566;gasa;ex;y;sbrkr;1600;0;0;0.0;0;2;0.0;3;1;gd;7;typ;1;gd;attchd;2007.0;rfn;3;890;ta;ta;y;0;56;0;0;0;0;‘’;‘’;0;0;wd;normal;256300.0;2009-07-20
27;2018-02-25;2022-07-16;20.0;rl;60.0;7200;pave;‘’;reg;lvl;allpub;corner;gtl;names;norm;norm;1fam;1story;5;7;1951;2000;gable;compshg;wd sdng;wd sdng;none;0.0;ta;ta;cblock;ta;ta;mn;blq;234;rec;486;180;gasa;ta;y;sbrkr;900;0;0;0.0;1;1;0.0;3;1;gd;5;typ;0;‘’;detchd;2005.0;unf;2;576;ta;ta;y;222;32;0;0;0;0;‘’;‘’;0;0;wd;normal;134800.0;2010-05-20
28;2018-02-25;2022-07-17;20.0;rl;98.0;11478;pave;‘’;reg;lvl;allpub;inside;gtl;nridght;norm;norm;1fam;1story;8;5;2007;2008;gable;compshg;vinylsd;vinylsd;stone;200.0;gd;ta;pconc;ex;ta;no;glq;1218;unf;0;486;gasa;ex;y;sbrkr;1704;0;0;1.0;0;2;0.0;3;1;gd;7;typ;1;gd;attchd;2008.0;rfn;3;772;ta;ta;y;0;50;0;0;0;0;‘’;‘’;0;0;wd;normal;306000.0;2010-05-20
29;2018-02-25;2022-07-18;20.0;rl;47.0;16321;pave;‘’;ir1;lvl;allpub;culdsac;gtl;names;norm;norm;1fam;1story;5;6;1957;1997;gable;compshg;metalsd;metalsd;none;0.0;ta;ta;cblock;ta;ta;gd;blq;1277;unf;0;207;gasa;ta;y;sbrkr;1600;0;0;1.0;0;1;0.0;2;1;ta;6;typ;2;gd;attchd;1957.0;rfn;1;319;ta;ta;y;288;258;0;0;0;0;‘’;‘’;0;0;wd;normal;207500.0;2006-12-20
30;2018-02-25;2022-07-19;30.0;rm;60.0;6324;pave;‘’;ir1;lvl;allpub;inside;gtl;brkside;feedr;rrnn;1fam;1story;4;6;1927;1950;gable;compshg;metalsd;metalsd;none;0.0;ta;ta;brktil;ta;ta;no;unf;0;unf;0;520;gasa;fa;n;sbrkr;520;0;0;0.0;0;1;0.0;1;1;fa;4;typ;0;‘’;detchd;1920.0;unf;1;240;fa;ta;y;49;0;87;0;0;0;‘’;‘’;0;0;wd;normal;68500.0;2008-05-20
31;2018-02-25;2022-07-20;70.0;c (all);50.0;8500;pave;pave;reg;lvl;allpub;inside;gtl;idotrr;feedr;norm;1fam;2story;4;4;1920;1950;gambrel;compshg;brkface;brkface;none;0.0;ta;fa;brktil;ta;ta;no;unf;0;unf;0;649;gasa;ta;n;sbrkr;649;668;0;0.0;0;1;0.0;3;1;ta;6;typ;0;‘’;detchd;1920.0;unf;1;250;ta;fa;n;0;54;172;0;0;0;‘’;mnprv;0;0;wd;normal;40000.0;2008-07-20
32;2018-02-25;2022-07-21;20.0;rl;0.0;8544;pave;‘’;ir1;lvl;allpub;culdsac;gtl;sawyer;norm;norm;1fam;1story;5;6;1966;2006;gable;compshg;hdboard;hdboard;none;0.0;ta;ta;cblock;ta;ta;no;unf;0;unf;0;1228;gasa;gd;y;sbrkr;1228;0;0;0.0;0;1;1.0;3;1;gd;6;typ;0;‘’;attchd;1966.0;unf;1;271;ta;ta;y;0;65;0;0;0;0;‘’;mnprv;0;0;wd;normal;149350.0;2008-06-20
33;2018-02-25;2022-07-22;20.0;rl;85.0;11049;pave;‘’;reg;lvl;allpub;corner;gtl;collgcr;norm;norm;1fam;1story;8;5;2007;2007;gable;compshg;vinylsd;vinylsd;none;0.0;gd;ta;pconc;ex;ta;av;unf;0;unf;0;1234;gasa;ex;y;sbrkr;1234;0;0;0.0;0;2;0.0;3;1;gd;7;typ;0;‘’;attchd;2007.0;rfn;2;484;ta;ta;y;0;30;0;0;0;0;‘’;‘’;0;0;wd;normal;179900.0;2008-01-20
34;2018-02-25;2022-07-23;20.0;rl;70.0;10552;pave;‘’;ir1;lvl;allpub;inside;gtl;names;norm;norm;1fam;1story;5;5;1959;1959;hip;compshg;brkface;brkface;none;0.0;ta;ta;cblock;ta;ta;no;rec;1018;unf;0;380;gasa;gd;y;sbrkr;1700;0;0;0.0;1;1;1.0;4;1;gd;6;typ;1;gd;attchd;1959.0;rfn;2;447;ta;ta;y;0;38;0;0;0;0;‘’;‘’;0;0;wd;normal;165500.0;2010-04-20
35;2018-02-25;2022-07-24;120.0;rl;60.0;7313;pave;‘’;reg;lvl;allpub;inside;gtl;nridght;norm;norm;twnhse;1story;9;5;2005;2005;hip;compshg;metalsd;metalsd;brkface;246.0;ex;ta;pconc;ex;ta;no;glq;1153;unf;0;408;gasa;ex;y;sbrkr;1561;0;0;1.0;0;2;0.0;2;1;ex;6;typ;1;gd;attchd;2005.0;fin;2;556;ta;ta;y;203;47;0;0;0;0;‘’;‘’;0;0;wd;normal;277500.0;2007-08-20
36;2018-02-25;2022-07-25;60.0;rl;108.0;13418;pave;‘’;reg;lvl;allpub;inside;gtl;nridght;norm;norm;1fam;2story;8;5;2004;2005;gable;compshg;vinylsd;vinylsd;stone;132.0;gd;ta;pconc;ex;ta;av;unf;0;unf;0;1117;gasa;ex;y;sbrkr;1132;1320;0;0.0;0;3;1.0;4;1;gd;9;typ;1;gd;builtin;2004.0;fin;3;691;ta;ta;y;113;32;0;0;0;0;‘’;‘’;0;0;wd;normal;309000.0;2006-09-20
37;2018-02-25;2022-07-26;20.0;rl;112.0;10859;pave;‘’;reg;lvl;allpub;corner;gtl;collgcr;norm;norm;1fam;1story;5;5;1994;1995;gable;compshg;vinylsd;vinylsd;none;0.0;ta;ta;pconc;gd;ta;no;unf;0;unf;0;1097;gasa;ex;y;sbrkr;1097;0;0;0.0;0;1;1.0;3;1;ta;6;typ;0;‘’;attchd;1995.0;unf;2;672;ta;ta;y;392;64;0;0;0;0;‘’;‘’;0;0;wd;normal;145000.0;2009-06-20
38;2018-02-25;2022-07-27;20.0;rl;74.0;8532;pave;‘’;reg;lvl;allpub;inside;gtl;names;norm;norm;1fam;1story;5;6;1954;1990;hip;compshg;wd sdng;wd sdng;brkface;650.0;ta;ta;cblock;ta;ta;no;rec;1213;unf;0;84;gasa;gd;y;sbrkr;1297;0;0;0.0;1;1;0.0;3;1;ta;5;typ;1;ta;attchd;1954.0;fin;2;498;ta;ta;y;0;0;0;0;0;0;‘’;‘’;0;0;wd;normal;153000.0;2009-10-20
39;2018-02-25;2022-07-28;20.0;rl;68.0;7922;pave;‘’;reg;lvl;allpub;inside;gtl;names;norm;norm;1fam;1story;5;7;1953;2007;gable;compshg;vinylsd;vinylsd;none;0.0;ta;gd;cblock;ta;ta;no;glq;731;unf;0;326;gasa;ta;y;sbrkr;1057;0;0;1.0;0;1;0.0;3;1;gd;5;typ;0;‘’;detchd;1953.0;unf;1;246;ta;ta;y;0;52;0;0;0;0;‘’;‘’;0;0;wd;abnorml;109000.0;2010-01-20
40;2018-02-25;2022-07-29;90.0;rl;65.0;6040;pave;‘’;reg;lvl;allpub;inside;gtl;edwards;norm;norm;duplex;1story;4;5;1955;1955;gable;compshg;asbshng;plywood;none;0.0;ta;ta;pconc;‘’;‘’;‘’;‘’;0;‘’;0;0;gasa;ta;n;fusep;1152;0;0;0.0;0;2;0.0;2;2;fa;6;typ;0;‘’;‘’;0.0;‘’;0;0;‘’;‘’;n;0;0;0;0;0;0;‘’;‘’;0;0;wd;adjland;82000.0;2008-06-20
41;2018-02-25;2022-07-30;20.0;rl;84.0;8658;pave;‘’;reg;lvl;allpub;inside;gtl;names;norm;norm;1fam;1story;6;5;1965;1965;gable;compshg;wd sdng;wd sdng;brkface;101.0;ta;ta;cblock;ta;ta;no;rec;643;unf;0;445;gasa;ex;y;sbrkr;1324;0;0;0.0;0;2;0.0;3;1;ta;6;typ;1;ta;attchd;1965.0;rfn;2;440;ta;ta;y;0;138;0;0;0;0;‘’;gdwo;0;0;wd;abnorml;160000.0;2006-12-20
42;2018-02-25;2022-07-31;20.0;rl;115.0;16905;pave;‘’;reg;lvl;allpub;inside;gtl;timber;norm;norm;1fam;1story;5;6;1959;1959;gable;compshg;vinylsd;vinylsd;none;0.0;ta;gd;cblock;ta;ta;gd;blq;967;unf;0;383;gasa;gd;y;sbrkr;1328;0;0;0.0;1;1;1.0;2;1;ta;5;typ;2;gd;attchd;1959.0;rfn;1;308;ta;ta;p;0;104;0;0;0;0;‘’;‘’;0;0;wd;normal;170000.0;2007-07-20
43;2018-02-25;2022-08-01;85.0;rl;0.0;9180;pave;‘’;ir1;lvl;allpub;culdsac;gtl;sawyerw;norm;norm;1fam;sfoyer;5;7;1983;1983;gable;compshg;hdboard;hdboard;none;0.0;ta;ta;cblock;gd;ta;av;alq;747;lwq;93;0;gasa;gd;y;sbrkr;884;0;0;1.0;0;1;0.0;2;1;gd;5;typ;0;‘’;attchd;1983.0;rfn;2;504;ta;gd;y;240;0;0;0;0;0;‘’;mnprv;0;0;wd;normal;144000.0;2007-12-20
44;2018-02-25;2022-08-02;20.0;rl;0.0;9200;pave;‘’;ir1;lvl;allpub;culdsac;gtl;collgcr;norm;norm;1fam;1story;5;6;1975;1980;hip;compshg;vinylsd;vinylsd;none;0.0;ta;ta;cblock;gd;ta;av;lwq;280;blq;491;167;gasa;ta;y;sbrkr;938;0;0;1.0;0;1;0.0;3;1;ta;5;typ;0;‘’;detchd;1977.0;unf;1;308;ta;ta;y;145;0;0;0;0;0;‘’;mnprv;0;0;wd;normal;130250.0;2008-07-20
45;2018-02-25;2022-08-03;20.0;rl;70.0;7945;pave;‘’;reg;lvl;allpub;inside;gtl;names;norm;norm;1fam;1story;5;6;1959;1959;gable;compshg;brkface;wd sdng;none;0.0;ta;ta;cblock;ta;ta;no;alq;179;blq;506;465;gasa;ex;y;fusea;1150;0;0;1.0;0;1;0.0;3;1;ta;6;typ;0;‘’;attchd;1959.0;rfn;1;300;ta;ta;y;0;0;0;0;0;0;‘’;‘’;0;0;wd;normal;141000.0;2006-05-20
46;2018-02-25;2022-08-04;120.0;rl;61.0;7658;pave;‘’;reg;lvl;allpub;inside;gtl;nridght;norm;norm;twnhse;1story;9;5;2005;2005;hip;compshg;metalsd;metalsd;brkface;412.0;ex;ta;pconc;ex;ta;no;glq;456;unf;0;1296;gasa;ex;y;sbrkr;1752;0;0;1.0;0;2;0.0;2;1;ex;6;typ;1;gd;attchd;2005.0;rfn;2;576;ta;ta;y;196;82;0;0;0;0;‘’;‘’;0;0;wd;normal;319900.0;2010-02-20
47;2018-02-25;2022-08-05;50.0;rl;48.0;12822;pave;‘’;ir1;lvl;allpub;culdsac;gtl;mitchel;norm;norm;1fam;1.5fin;7;5;2003;2003;gable;compshg;vinylsd;vinylsd;none;0.0;gd;ta;pconc;ex;ta;no;glq;1351;unf;0;83;gasa;ex;y;sbrkr;1518;631;0;1.0;0;1;1.0;1;1;gd;6;typ;1;ex;attchd;2003.0;rfn;2;670;ta;ta;y;168;43;0;0;198;0;‘’;‘’;0;0;wd;abnorml;239686.0;2009-08-20
48;2018-02-25;2022-08-06;20.0;fv;84.0;11096;pave;‘’;reg;lvl;allpub;inside;gtl;somerst;norm;norm;1fam;1story;8;5;2006;2006;gable;compshg;vinylsd;vinylsd;none;0.0;gd;ta;pconc;gd;ta;av;glq;24;unf;0;1632;gasa;ex;y;sbrkr;1656;0;0;0.0;0;2;0.0;3;1;gd;7;typ;0;‘’;attchd;2006.0;rfn;3;826;ta;ta;y;0;146;0;0;0;0;‘’;‘’;0;0;wd;normal;249700.0;2007-07-20
49;2018-02-25;2022-08-07;190.0;rm;33.0;4456;pave;‘’;reg;lvl;allpub;inside;gtl;oldtown;norm;norm;2fmcon;2story;4;5;1920;2008;gable;compshg;metalsd;metalsd;none;0.0;ta;ta;brktil;ta;ta;no;unf;0;unf;0;736;gasa;gd;y;sbrkr;736;716;0;0.0;0;2;0.0;2;3;ta;8;typ;0;‘’;‘’;0.0;‘’;0;0;‘’;‘’;n;0;0;102;0;0;0;‘’;‘’;0;0;new;partial;113000.0;2009-06-20
50;2018-02-25;2022-08-08;20.0;rl;66.0;7742;pave;‘’;reg;lvl;allpub;inside;gtl;sawyer;norm;norm;1fam;1story;5;7;1966;1966;gable;compshg;hdboard;hdboard;none;0.0;ta;ta;cblock;ta;ta;no;blq;763;unf;0;192;gasa;ex;y;sbrkr;955;0;0;1.0;0;1;0.0;3;1;ta;6;typ;0;‘’;attchd;1966.0;unf;1;386;ta;ta;y;0;0;0;0;0;0;‘’;mnprv;0;0;wd;normal;127000.0;2007-01-20
