Id;ActiveDate;EndDate;MSSubClass;MSZoning;LotFrontage;LotArea;Street;Alley;LotShape;LandContour;Utilities;LotConfig;LandSlope;Neighborhood;Condition1;Condition2;BldgType;HouseStyle;OverallQual;OverallCond;YearBuilt;YearRemodAdd;RoofStyle;RoofMatl;Exterior1st;Exterior2nd;MasVnrType;MasVnrArea;ExterQual;ExterCond;Foundation;BsmtQual;BsmtCond;BsmtExposure;BsmtFinType1;BsmtFinSF1;BsmtFinType2;BsmtFinSF2;BsmtUnfSF;Heating;HeatingQC;CentralAir;Electrical;1stFlrSF;2ndFlrSF;LowQualFinSF;BsmtFullBath;BsmtHalfBath;FullBath;HalfBath;BedroomAbvGr;KitchenAbvGr;KitchenQual;TotRmsAbvGrd;Functional;Fireplaces;FireplaceQu;GarageType;GarageYrBlt;GarageFinish;GarageCars;GarageArea;GarageQual;GarageCond;PavedDrive;WoodDeckSF;OpenPorchSF;EnclosedPorch;3SsnPorch;ScreenPorch;PoolArea;PoolQC;Fence;MiscFeature;MiscVal;SaleType;SaleCondition;SalePrice;DateSold;MonthSold;YearSold;TotalBsmtSF;TotalLivingArea;HouseAge
11;2018-02-25;2022-06-30;20.0;rl;70.0;11200;pave;‘’;reg;lvl;allpub;inside;gtl;sawyer;norm;norm;1fam;1story;5;5;1965;1965;hip;compshg;hdboard;hdboard;none;0.0;0.5;0.5;cblock;0.5;0.5;no;rec;906;unf;0;134;gasa;1.0;1.0;sbrkr;1040;0;0;1.0;0;1;0.0;3;1;0.5;5;typ;0;‘’;detchd;1965.0;unf;1;384;0.5;0.5;1.0;0;0;0;0;0;0;‘’;‘’;0;0;wd;normal;129500.0;2008-02-20;2;2008;1040;1040;58
12;2018-02-25;2022-07-01;60.0;rl;85.0;11924;pave;‘’;ir1;lvl;allpub;inside;gtl;nridght;norm;norm;1fam;2story;9;5;2005;2006;hip;compshg;wdshing;wd shng;stone;286.0;1.0;0.5;pconc;1.0;0.5;no;glq;998;unf;0;177;gasa;1.0;1.0;sbrkr;1182;1142;0;1.0;0;3;0.0;4;1;1.0;11;typ;2;0.8;builtin;2005.0;fin;3;736;0.5;0.5;1.0;147;21;0;0;0;0;‘’;‘’;0;0;new;partial;345000.0;2006-07-20;7;2006;1175;2324;18
13;2018-02-25;2022-07-02;20.0;rl;0.0;12968;pave;‘’;ir2;lvl;allpub;inside;gtl;sawyer;norm;norm;1fam;1story;5;6;1962;1962;hip;compshg;hdboard;plywood;none;0.0;0.5;0.5;cblock;0.5;0.5;no;alq;737;unf;0;175;gasa;0.5;1.0;sbrkr;912;0;0;1.0;0;1;0.0;2;1;0.5;4;typ;0;‘’;detchd;1962.0;unf;1;352;0.5;0.5;1.0;140;0;0;0;176;0;‘’;‘’;0;0;wd;normal;144000.0;2008-09-20;9;2008;912;912;61
14;2018-02-25;2022-07-03;20.0;rl;91.0;10652;pave;‘’;ir1;lvl;allpub;inside;gtl;collgcr;norm;norm;1fam;1story;7;5;2006;2007;gable;compshg;vinylsd;vinylsd;stone;306.0;0.8;0.5;pconc;0.8;0.5;av;unf;0;unf;0;1494;gasa;1.0;1.0;sbrkr;1494;0;0;0.0;0;2;0.0;3;1;0.8;7;typ;1;0.8;attchd;2006.0;rfn;3;840;0.5;0.5;1.0;160;33;0;0;0;0;‘’;‘’;0;0;new;partial;279500.0;2007-08-20;8;2007;1494;1494;17
15;2018-02-25;2022-07-04;20.0;rl;0.0;10920;pave;‘’;ir1;lvl;allpub;corner;gtl;names;norm;norm;1fam;1story;6;5;1960;1960;hip;compshg;metalsd;metalsd;brkface;212.0;0.5;0.5;cblock;0.5;0.5;no;blq;733;unf;0;520;gasa;0.5;1.0;sbrkr;1253;0;0;1.0;0;1;1.0;2;1;0.5;5;typ;1;0.2;attchd;1960.0;rfn;1;352;0.5;0.5;1.0;0;213;176;0;0;0;‘’;gdwo;0;0;wd;normal;157000.0;2008-05-20;5;2008;1253;1253;63
16;2018-02-25;2022-07-05;45.0;rm;51.0;6120;pave;‘’;reg;lvl;allpub;corner;gtl;brkside;norm;norm;1fam;1.5unf;7;8;1929;2001;gable;compshg;wd sdng;wd sdng;none;0.0;0.5;0.5;brktil;0.5;0.5;no;unf;0;unf;0;832;gasa;1.0;1.0;fusea;854;0;0;0.0;0;1;0.0;2;1;0.5;5;typ;0;‘’;detchd;1991.0;unf;2;576;0.5;0.5;1.0;48;112;0;0;0;0;‘’;gdprv;0;0;wd;normal;132000.0;2007-07-20;7;2007;832;854;94
17;2018-02-25;2022-07-06;20.0;rl;0.0;11241;pave;‘’;ir1;lvl;allpub;culdsac;gtl;names;norm;norm;1fam;1story;6;7;1970;1970;gable;compshg;wd sdng;wd sdng;brkface;180.0;0.5;0.5;cblock;0.5;0.5;no;alq;578;unf;0;426;gasa;1.0;1.0;sbrkr;1004;0;0;1.0;0;1;0.0;2;1;0.5;5;typ;1;0.5;attchd;1970.0;fin;2;480;0.5;0.5;1.0;0;0;0;0;0;0;‘’;‘’;shed;700;wd;normal;149000.0;2010-03-20;3;2010;1004;1004;53
18;2018-02-25;2022-07-07;90.0;rl;72.0;10791;pave;‘’;reg;lvl;allpub;inside;gtl;sawyer;norm;norm;duplex;1story;4;5;1967;1967;gable;compshg;metalsd;metalsd;none;0.0;0.5;0.5;slab;‘’;‘’;‘’;‘’;0;‘’;0;0;gasa;0.5;1.0;sbrkr;1296;0;0;0.0;0;2;0.0;2;2;0.5;6;typ;0;‘’;carport;1967.0;unf;2;516;0.5;0.5;1.0;0;0;0;0;0;0;‘’;‘’;shed;500;wd;normal;90000.0;2006-10-20;10;2006;0;1296;56
19;2018-02-25;2022-07-08;20.0;rl;66.0;13695;pave;‘’;reg;lvl;allpub;inside;gtl;sawyerw;rrae;norm;1fam;1story;5;5;2004;2004;gable;compshg;vinylsd;vinylsd;none;0.0;0.5;0.5;pconc;0.5;0.5;no;glq;646;unf;0;468;gasa;1.0;1.0;sbrkr;1114;0;0;1.0;0;1;1.0;3;1;0.8;6;typ;0;‘’;detchd;2004.0;unf;2;576;0.5;0.5;1.0;0;102;0;0;0;0;‘’;‘’;0;0;wd;normal;159000.0;2008-06-20;6;2008;1114;1114;19
20;2018-02-25;2022-07-09;20.0;rl;70.0;7560;pave;‘’;reg;lvl;allpub;inside;gtl;names;norm;norm;1fam;1story;5;6;1958;1965;hip;compshg;brkface;plywood;none;0.0;0.5;0.5;cblock;0.5;0.5;no;lwq;504;unf;0;525;gasa;0.5;1.0;sbrkr;1339;0;0;0.0;0;1;0.0;3;1;0.5;6;min1;0;‘’;attchd;1958.0;unf;1;294;0.5;0.5;1.0;0;0;0;0;0;0;‘’;mnprv;0;0;cod;abnorml;139000.0;2009-05-20;5;2009;1029;1339;65
21;2018-02-25;2022-07-10;60.0;rl;101.0;14215;pave;‘’;ir1;lvl;allpub;corner;gtl;nridght;norm;norm;1fam;2story;8;5;2005;2006;gable;compshg;vinylsd;vinylsd;brkface;380.0;0.8;0.5;pconc;1.0;0.5;av;unf;0;unf;0;1158;gasa;1.0;1.0;sbrkr;1158;1218;0;0.0;0;3;1.0;4;1;0.8;9;typ;1;0.8;builtin;2005.0;rfn;3;853;0.5;0.5;1.0;240;154;0;0;0;0;‘’;‘’;0;0;new;partial;325300.0;2006-11-20;11;2006;1158;2376;18
22;2018-02-25;2022-07-11;45.0;rm;57.0;7449;pave;grvl;reg;bnk;allpub;inside;gtl;idotrr;norm;norm;1fam;1.5unf;7;7;1930;1950;gable;compshg;wd sdng;wd sdng;none;0.0;0.5;0.5;pconc;0.5;0.5;no;unf;0;unf;0;637;gasa;1.0;1.0;fusef;1108;0;0;0.0;0;1;0.0;3;1;0.8;6;typ;1;0.8;attchd;1930.0;unf;1;280;0.5;0.5;0.0;0;0;205;0;0;0;‘’;gdprv;0;0;wd;normal;139400.0;2007-06-20;6;2007;637;1108;93
23;2018-02-25;2022-07-12;20.0;rl;75.0;9742;pave;‘’;reg;lvl;allpub;inside;gtl;collgcr;norm;norm;1fam;1story;8;5;2002;2002;hip;compshg;vinylsd;vinylsd;brkface;281.0;0.8;0.5;pconc;0.8;0.5;no;unf;0;unf;0;1777;gasa;1.0;1.0;sbrkr;1795;0;0;0.0;0;2;0.0;3;1;0.8;7;typ;1;0.8;attchd;2002.0;rfn;2;534;0.5;0.5;1.0;171;159;0;0;0;0;‘’;‘’;0;0;wd;normal;230000.0;2008-09-20;9;2008;1777;1795;21
24;2018-02-25;2022-07-13;120.0;rm;44.0;4224;pave;‘’;reg;lvl;allpub;inside;gtl;meadowv;norm;norm;twnhse;1story;5;7;1976;1976;gable;compshg;cemntbd;cmentbd;none;0.0;0.5;0.5;pconc;0.8;0.5;no;glq;840;unf;0;200;gasa;0.5;1.0;sbrkr;1060;0;0;1.0;0;1;0.0;3;1;0.5;6;typ;1;0.5;attchd;1976.0;unf;2;572;0.5;0.5;1.0;100;110;0;0;0;0;‘’;‘’;0;0;wd;normal;129900.0;2007-06-20;6;2007;1040;1060;47
25;2018-02-25;2022-07-14;20.0;rl;0.0;8246;pave;‘’;ir1;lvl;allpub;inside;gtl;sawyer;norm;norm;1fam;1story;5;8;1968;2001;gable;compshg;plywood;plywood;none;0.0;0.5;0.8;cblock;0.5;0.5;mn;rec;188;alq;668;204;gasa;1.0;1.0;sbrkr;1060;0;0;1.0;0;1;0.0;3;1;0.8;6;typ;1;0.5;attchd;1968.0;unf;1;270;0.5;0.5;1.0;406;90;0;0;0;0;‘’;mnprv;0;0;wd;normal;154000.0;2010-05-20;5;2010;1060;1060;55
26;2018-02-25;2022-07-15;20.0;rl;110.0;14230;pave;‘’;reg;lvl;allpub;corner;gtl;nridght;norm;norm;1fam;1story;8;5;2007;2007;gable;compshg;vinylsd;vinylsd;stone;640.0;0.8;0.5;pconc;0.8;0.5;no;unf;0;unf;0;1566;gasa;1.0;1.0;sbrkr;1600;0;0;0.0;0;2;0.0;3;1;0.8;7;typ;1;0.8;attchd;2007.0;rfn;3;890;0.5;0.5;1.0;0;56;0;0;0;0;‘’;‘’;0;0;wd;normal;256300.0;2009-07-20;7;2009;1566;1600;16
27;2018-02-25;2022-07-16;20.0;rl;60.0;7200;pave;‘’;reg;lvl;allpub;corner;gtl;names;norm;norm;1fam;1story;5;7;1951;2000;gable;compshg;wd sdng;wd sdng;none;0.0;0.5;0.5;cblock;0.5;0.5;mn;blq;234;rec;486;180;gasa;0.5;1.0;sbrkr;900;0;0;0.0;1;1;0.0;3;1;0.8;5;typ;0;‘’;detchd;2005.0;unf;2;576;0.5;0.5;1.0;222;32;0;0;0;0;‘’;‘’;0;0;wd;normal;134800.0;2010-05-20;5;2010;900;900;72
28;2018-02-25;2022-07-17;20.0;rl;98.0;11478;pave;‘’;reg;lvl;allpub;inside;gtl;nridght;norm;norm;1fam;1story;8;5;2007;2008;gable;compshg;vinylsd;vinylsd;stone;200.0;0.8;0.5;pconc;1.0;0.5;no;glq;1218;unf;0;486;gasa;1.0;1.0;sbrkr;1704;0;0;1.0;0;2;0.0;3;1;0.8;7;typ;1;0.8;attchd;2008.0;rfn;3;772;0.5;0.5;1.0;0;50;0;0;0;0;‘’;‘’;0;0;wd;normal;306000.0;2010-05-20;5;2010;1704;1704;16
29;2018-02-25;2022-07-18;20.0;rl;47.0;16321;pave;‘’;ir1;lvl;allpub;culdsac;gtl;names;norm;norm;1fam;1story;5;6;1957;1997;gable;compshg;metalsd;metalsd;none;0.0;0.5;0.5;cblock;0.5;0.5;0.8;blq;1277;unf;0;207;gasa;0.5;1.0;sbrkr;1600;0;0;1.0;0;1;0.0;2;1;0.5;6;typ;2;0.8;attchd;1957.0;rfn;1;319;0.5;0.5;1.0;288;258;0;0;0;0;‘’;‘’;0;0;wd;normal;207500.0;2006-12-20;12;2006;1484;1600;66
30;2018-02-25;2022-07-19;30.0;rm;60.0;6324;pave;‘’;ir1;lvl;allpub;inside;gtl;brkside;feedr;rrnn;1fam;1story;4;6;1927;1950;gable;compshg;metalsd;metalsd;none;0.0;0.5;0.5;brktil;0.5;0.5;no;unf;0;unf;0;520;gasa;0.2;0.0;sbrkr;520;0;0;0.0;0;1;0.0;1;1;0.2;4;typ;0;‘’;detchd;1920.0;unf;1;240;0.2;0.5;1.0;49;0;87;0;0;0;‘’;‘’;0;0;wd;normal;68500.0;2008-05-20;5;2008;520;520;96
31;2018-02-25;2022-07-20;70.0;c (all);50.0;8500;pave;pave;reg;lvl;allpub;inside;gtl;idotrr;feedr;norm;1fam;2story;4;4;1920;1950;gambrel;compshg;brkface;brkface;none;0.0;0.5;0.2;brktil;0.5;0.5;no;unf;0;unf;0;649;gasa;0.5;0.0;sbrkr;649;668;0;0.0;0;1;0.0;3;1;0.5;6;typ;0;‘’;detchd;1920.0;unf;1;250;0.5;0.2;0.0;0;54;172;0;0;0;‘’;mnprv;0;0;wd;normal;40000.0;2008-07-20;7;2008;649;1317;103
32;2018-02-25;2022-07-21;20.0;rl;0.0;8544;pave;‘’;ir1;lvl;allpub;culdsac;gtl;sawyer;norm;norm;1fam;1story;5;6;1966;2006;gable;compshg;hdboard;hdboard;none;0.0;0.5;0.5;cblock;0.5;0.5;no;unf;0;unf;0;1228;gasa;0.8;1.0;sbrkr;1228;0;0;0.0;0;1;1.0;3;1;0.8;6;typ;0;‘’;attchd;1966.0;unf;1;271;0.5;0.5;1.0;0;65;0;0;0;0;‘’;mnprv;0;0;wd;normal;149350.0;2008-06-20;6;2008;1228;1228;57
33;2018-02-25;2022-07-22;20.0;rl;85.0;11049;pave;‘’;reg;lvl;allpub;corner;gtl;collgcr;norm;norm;1fam;1story;8;5;2007;2007;gable;compshg;vinylsd;vinylsd;none;0.0;0.8;0.5;pconc;1.0;0.5;av;unf;0;unf;0;1234;gasa;1.0;1.0;sbrkr;1234;0;0;0.0;0;2;0.0;3;1;0.8;7;typ;0;‘’;attchd;2007.0;rfn;2;484;0.5;0.5;1.0;0;30;0;0;0;0;‘’;‘’;0;0;wd;normal;179900.0;2008-01-20;1;2008;1234;1234;16
34;2018-02-25;2022-07-23;20.0;rl;70.0;10552;pave;‘’;ir1;lvl;allpub;inside;gtl;names;norm;norm;1fam;1story;5;5;1959;1959;hip;compshg;brkface;brkface;none;0.0;0.5;0.5;cblock;0.5;0.5;no;rec;1018;unf;0;380;gasa;0.8;1.0;sbrkr;1700;0;0;0.0;1;1;1.0;4;1;0.8;6;typ;1;0.8;attchd;1959.0;rfn;2;447;0.5;0.5;1.0;0;38;0;0;0;0;‘’;‘’;0;0;wd;normal;165500.0;2010-04-20;4;2010;1398;1700;64
35;2018-02-25;2022-07-24;120.0;rl;60.0;7313;pave;‘’;reg;lvl;allpub;inside;gtl;nridght;norm;norm;twnhse;1story;9;5;2005;2005;hip;compshg;metalsd;metalsd;brkface;246.0;1.0;0.5;pconc;1.0;0.5;no;glq;1153;unf;0;408;gasa;1.0;1.0;sbrkr;1561;0;0;1.0;0;2;0.0;2;1;1.0;6;typ;1;0.8;attchd;2005.0;fin;2;556;0.5;0.5;1.0;203;47;0;0;0;0;‘’;‘’;0;0;wd;normal;277500.0;2007-08-20;8;2007;1561;1561;18
36;2018-02-25;2022-07-25;60.0;rl;108.0;13418;pave;‘’;reg;lvl;allpub;inside;gtl;nridght;norm;norm;1fam;2story;8;5;2004;2005;gable;compshg;vinylsd;vinylsd;stone;132.0;0.8;0.5;pconc;1.0;0.5;av;unf;0;unf;0;1117;gasa;1.0;1.0;sbrkr;1132;1320;0;0.0;0;3;1.0;4;1;0.8;9;typ;1;0.8;builtin;2004.0;fin;3;691;0.5;0.5;1.0;113;32;0;0;0;0;‘’;‘’;0;0;wd;normal;309000.0;2006-09-20;9;2006;1117;2452;19
37;2018-02-25;2022-07-26;20.0;rl;112.0;10859;pave;‘’;reg;lvl;allpub;corner;gtl;collgcr;norm;norm;1fam;1story;5;5;1994;1995;gable;compshg;vinylsd;vinylsd;none;0.0;0.5;0.5;pconc;0.8;0.5;no;unf;0;unf;0;1097;gasa;1.0;1.0;sbrkr;1097;0;0;0.0;0;1;1.0;3;1;0.5;6;typ;0;‘’;attchd;1995.0;unf;2;672;0.5;0.5;1.0;392;64;0;0;0;0;‘’;‘’;0;0;wd;normal;145000.0;2009-06-20;6;2009;1097;1097;29
38;2018-02-25;2022-07-27;20.0;rl;74.0;8532;pave;‘’;reg;lvl;allpub;inside;gtl;names;norm;norm;1fam;1story;5;6;1954;1990;hip;compshg;wd sdng;wd sdng;brkface;650.0;0.5;0.5;cblock;0.5;0.5;no;rec;1213;unf;0;84;gasa;0.8;1.0;sbrkr;1297;0;0;0.0;1;1;0.0;3;1;0.5;5;typ;1;0.5;attchd;1954.0;fin;2;498;0.5;0.5;1.0;0;0;0;0;0;0;‘’;‘’;0;0;wd;normal;153000.0;2009-10-20;10;2009;1297;1297;69
39;2018-02-25;2022-07-28;20.0;rl;68.0;7922;pave;‘’;reg;lvl;allpub;inside;gtl;names;norm;norm;1fam;1story;5;7;1953;2007;gable;compshg;vinylsd;vinylsd;none;0.0;0.5;0.8;cblock;0.5;0.5;no;glq;731;unf;0;326;gasa;0.5;1.0;sbrkr;1057;0;0;1.0;0;1;0.0;3;1;0.8;5;typ;0;‘’;detchd;1953.0;unf;1;246;0.5;0.5;1.0;0;52;0;0;0;0;‘’;‘’;0;0;wd;abnorml;109000.0;2010-01-20;1;2010;1057;1057;70
40;2018-02-25;2022-07-29;90.0;rl;65.0;6040;pave;‘’;reg;lvl;allpub;inside;gtl;edwards;norm;norm;duplex;1story;4;5;1955;1955;gable;compshg;asbshng;plywood;none;0.0;0.5;0.5;pconc;‘’;‘’;‘’;‘’;0;‘’;0;0;gasa;0.5;0.0;fusep;1152;0;0;0.0;0;2;0.0;2;2;0.2;6;typ;0;‘’;‘’;0.0;‘’;0;0;‘’;‘’;0.0;0;0;0;0;0;0;‘’;‘’;0;0;wd;adjland;82000.0;2008-06-20;6;2008;0;1152;68
41;2018-02-25;2022-07-30;20.0;rl;84.0;8658;pave;‘’;reg;lvl;allpub;inside;gtl;names;norm;norm;1fam;1story;6;5;1965;1965;gable;compshg;wd sdng;wd sdng;brkface;101.0;0.5;0.5;cblock;0.5;0.5;no;rec;643;unf;0;445;gasa;1.0;1.0;sbrkr;1324;0;0;0.0;0;2;0.0;3;1;0.5;6;typ;1;0.5;attchd;1965.0;rfn;2;440;0.5;0.5;1.0;0;138;0;0;0;0;‘’;gdwo;0;0;wd;abnorml;160000.0;2006-12-20;12;2006;1088;1324;58
42;2018-02-25;2022-07-31;20.0;rl;115.0;16905;pave;‘’;reg;lvl;allpub;inside;gtl;timber;norm;norm;1fam;1story;5;6;1959;1959;gable;compshg;vinylsd;vinylsd;none;0.0;0.5;0.8;cblock;0.5;0.5;0.8;blq;967;unf;0;383;gasa;0.8;1.0;sbrkr;1328;0;0;0.0;1;1;1.0;2;1;0.5;5;typ;2;0.8;attchd;1959.0;rfn;1;308;0.5;0.5;0.5;0;104;0;0;0;0;‘’;‘’;0;0;wd;normal;170000.0;2007-07-20;7;2007;1350;1328;64
43;2018-02-25;2022-08-01;85.0;rl;0.0;9180;pave;‘’;ir1;lvl;allpub;culdsac;gtl;sawyerw;norm;norm;1fam;sfoyer;5;7;1983;1983;gable;compshg;hdboard;hdboard;none;0.0;0.5;0.5;cblock;0.8;0.5;av;alq;747;lwq;93;0;gasa;0.8;1.0;sbrkr;884;0;0;1.0;0;1;0.0;2;1;0.8;5;typ;0;‘’;attchd;1983.0;rfn;2;504;0.5;0.8;1.0;240;0;0;0;0;0;‘’;mnprv;0;0;wd;normal;144000.0;2007-12-20;12;2007;840;884;40
44;2018-02-25;2022-08-02;20.0;rl;0.0;9200;pave;‘’;ir1;lvl;allpub;culdsac;gtl;collgcr;norm;norm;1fam;1story;5;6;1975;1980;hip;compshg;vinylsd;vinylsd;none;0.0;0.5;0.5;cblock;0.8;0.5;av;lwq;280;blq;491;167;gasa;0.5;1.0;sbrkr;938;0;0;1.0;0;1;0.0;3;1;0.5;5;typ;0;‘’;detchd;1977.0;unf;1;308;0.5;0.5;1.0;145;0;0;0;0;0;‘’;mnprv;0;0;wd;normal;130250.0;2008-07-20;7;2008;938;938;48
45;2018-02-25;2022-08-03;20.0;rl;70.0;7945;pave;‘’;reg;lvl;allpub;inside;gtl;names;norm;norm;1fam;1story;5;6;1959;1959;gable;compshg;brkface;wd sdng;none;0.0;0.5;0.5;cblock;0.5;0.5;no;alq;179;blq;506;465;gasa;1.0;1.0;fusea;1150;0;0;1.0;0;1;0.0;3;1;0.5;6;typ;0;‘’;attchd;1959.0;rfn;1;300;0.5;0.5;1.0;0;0;0;0;0;0;‘’;‘’;0;0;wd;normal;141000.0;2006-05-20;5;2006;1150;1150;64
