!Housing prices part 2 csv
!Represents quality of house, area, etc
!
Id|ActiveDate|EndDate|MSSubClass|MSZoning|LotFrontage|LotArea|Street|Alley|LotShape|LandContour|Utilities|LotConfig|LandSlope|Neighborhood|Condition1|Condition2|BldgType|HouseStyle|OverallQual|OverallCond|YearBuilt|YearRemodAdd|RoofStyle|RoofMatl|Exterior1st|Exterior2nd|MasVnrType|MasVnrArea|ExterQual|ExterCond|Foundation|BsmtQual|BsmtCond|BsmtExposure|BsmtFinType1|BsmtFinSF1|BsmtFinType2|BsmtFinSF2|BsmtUnfSF|Heating|HeatingQC|CentralAir|Electrical|1stFlrSF|2ndFlrSF|LowQualFinSF|BsmtFullBath|BsmtHalfBath|FullBath|HalfBath|BedroomAbvGr|KitchenAbvGr|KitchenQual|TotRmsAbvGrd|Functional|Fireplaces|FireplaceQu|GarageType|GarageYrBlt|GarageFinish|GarageCars|GarageArea|GarageQual|GarageCond|PavedDrive|WoodDeckSF|OpenPorchSF|EnclosedPorch|3SsnPorch|ScreenPorch|PoolArea|PoolQC|Fence|MiscFeature|MiscVal|SaleType|SaleCondition|SalePrice|DealCode|DateSold
711|25/02/2018|05/30/2024 12:00:00|30|RL|56|4130|Pave|NA|IR1|Lvl|AllPub|Inside|Gtl|BrkSide|Norm|Norm|1Fam|1Story|3|6|1935|2003|Gable|CompShg|VinylSd|VinylSd|None|0|Gd|TA|CBlock|TA|TA|No|Unf|0|Unf|0|270|GasA|Gd|Y|SBrkr|729|0|0|0|0|1|0|2|1|TA|5|Maj2|0|NA|NA|NA|NA|0|0|NA|NA|N|0|0|0|0|0|0|NA|NA|NA|0|WD|Normal|52000,00|N/a|20/7/2008
712|25/02/2018|05/31/2024 12:00:00|50|C (all)|66|8712|Pave|Pave|Reg|HLS|AllPub|Inside|Mod|IDOTRR|Norm|Norm|1Fam|1.5Fin|4|7|1900|1950|Gable|CompShg|MetalSd|MetalSd|None|0|TA|TA|Stone|TA|TA|Mn|Unf|0|Unf|0|859|GasA|Gd|Y|SBrkr|859|319|0|0|0|1|0|2|1|TA|7|Typ|0|NA|Detchd|1964|RFn|1|384|TA|TA|N|68|0|98|0|0|0|NA|NA|NA|0|WD|Abnorml|102776,00|N/a|20/1/2010
713|25/02/2018|06/01/2024 12:00:00|120|RL|40|4671|Pave|NA|IR1|HLS|AllPub|Inside|Gtl|StoneBr|Norm|Norm|TwnhsE|1Story|8|5|1988|1989|Gable|CompShg|HdBoard|HdBoard|None|0|Gd|TA|PConc|Gd|TA|Mn|GLQ|767|Unf|0|461|GasA|Gd|Y|SBrkr|1228|0|0|1|0|2|0|2|1|Gd|5|Typ|1|Gd|Attchd|1988|Fin|2|472|TA|TA|Y|168|120|0|0|0|0|NA|NA|NA|0|WD|Normal|189000,00|N/a|20/10/2008
714|25/02/2018|06/02/2024 12:00:00|190|RL|60|9873|Pave|NA|Reg|Lvl|AllPub|Inside|Gtl|BrkSide|RRAn|Norm|2fmCon|1Story|4|5|1970|1970|Gable|CompShg|HdBoard|HdBoard|BrkFace|160|TA|TA|CBlock|TA|TA|Av|ALQ|789|Unf|0|171|GasW|TA|N|SBrkr|960|0|0|1|0|1|0|3|1|TA|6|Typ|0|NA|Detchd|1970|Unf|2|576|TA|TA|Y|0|288|0|0|0|0|NA|NA|NA|0|WD|Normal|129000,00|N/a|20/5/2006
715|25/02/2018|06/03/2024 12:00:00|60|RL|NA|13517|Pave|NA|IR1|Lvl|AllPub|CulDSac|Gtl|Sawyer|RRAe|Norm|1Fam|2Story|6|8|1976|2005|Gable|CompShg|HdBoard|Plywood|BrkFace|289|Gd|TA|CBlock|TA|TA|No|GLQ|533|Unf|0|192|GasA|Ex|Y|SBrkr|725|754|0|0|0|2|1|3|1|Gd|6|Typ|0|NA|Attchd|1976|RFn|2|475|TA|TA|Y|0|44|0|0|0|0|NA|NA|NA|0|WD|Normal|130500,00|N/a|20/3/2010
716|25/02/2018|06/04/2024 12:00:00|20|RL|78|10140|Pave|NA|Reg|Lvl|AllPub|Inside|Gtl|NWAmes|Norm|Norm|1Fam|1Story|6|5|1974|1974|Hip|CompShg|HdBoard|HdBoard|BrkFace|174|TA|TA|CBlock|Gd|TA|No|Unf|0|Unf|0|1064|GasA|TA|Y|SBrkr|1350|0|0|0|0|2|0|3|1|TA|7|Typ|1|TA|Attchd|1974|RFn|2|478|TA|TA|Y|0|0|0|0|0|0|NA|MnPrv|NA|0|WD|Normal|165000,00|N/a|20/8/2009
717|25/02/2018|06/05/2024 12:00:00|70|RM|60|10800|Pave|Grvl|Reg|Bnk|AllPub|Inside|Gtl|OldTown|Norm|Norm|1Fam|2Story|7|8|1890|1998|Gable|CompShg|Wd Sdng|VinylSd|None|0|TA|Gd|BrkTil|TA|TA|No|Unf|0|Unf|0|718|GasA|Ex|Y|SBrkr|1576|978|0|0|0|1|1|3|1|TA|8|Typ|0|NA|Detchd|1996|Unf|2|704|TA|TA|P|0|48|143|0|0|0|NA|NA|NA|0|WD|Normal|159500,00|N/a|20/7/2007
718|25/02/2018|06/06/2024 12:00:00|20|RL|80|10000|Pave|NA|Reg|Lvl|AllPub|Inside|Gtl|NWAmes|Norm|Norm|1Fam|1Story|5|6|1973|2000|Gable|CompShg|HdBoard|HdBoard|None|0|TA|TA|CBlock|Gd|TA|No|BLQ|1084|Unf|0|92|GasA|Gd|Y|SBrkr|1178|0|0|0|1|1|1|3|1|Gd|5|Typ|1|Fa|Attchd|1973|Unf|2|439|TA|TA|Y|224|0|0|0|0|0|NA|MnPrv|NA|0|WD|Normal|157000,00|N/a|20/11/2008
719|25/02/2018|06/07/2024 12:00:00|60|RL|96|10542|Pave|NA|Reg|Lvl|AllPub|Inside|Gtl|NoRidge|Norm|Norm|1Fam|2Story|7|5|1993|1994|Hip|CompShg|Wd Sdng|ImStucc|BrkFace|651|Gd|TA|PConc|Gd|TA|Gd|GLQ|1173|Unf|0|138|GasA|Ex|Y|SBrkr|1325|1093|0|1|0|2|1|3|1|Gd|9|Typ|1|TA|Attchd|1993|RFn|3|983|TA|TA|Y|250|154|216|0|0|0|NA|NA|NA|0|WD|Normal|341000,00|N/a|20/8/2008
720|25/02/2018|06/08/2024 12:00:00|20|RL|69|9920|Pave|NA|IR1|Lvl|AllPub|Inside|Gtl|CollgCr|Norm|Norm|1Fam|1Story|5|6|1969|1969|Gable|CompShg|HdBoard|Plywood|None|0|TA|TA|CBlock|Gd|TA|Gd|ALQ|523|Unf|0|448|GasA|TA|Y|SBrkr|971|0|0|0|0|1|1|3|1|TA|5|Typ|1|Po|Attchd|1969|Unf|1|300|TA|TA|Y|0|0|0|0|0|0|NA|NA|NA|0|WD|Normal|128500,00|N/a|20/5/2006
721|25/02/2018|06/09/2024 12:00:00|120|RL|NA|6563|Pave|NA|IR1|Low|AllPub|CulDSac|Mod|StoneBr|Norm|Norm|1Fam|1Story|8|5|1985|1985|Gable|CompShg|HdBoard|HdBoard|None|0|Gd|TA|PConc|Gd|TA|Gd|GLQ|1148|Unf|0|594|GasA|TA|Y|SBrkr|1742|0|0|1|0|2|0|2|1|Gd|5|Typ|1|TA|Attchd|1985|RFn|2|564|TA|TA|Y|114|28|234|0|0|0|NA|NA|NA|0|WD|Normal|275000,00|N/a|20/12/2006
722|25/02/2018|06/10/2024 12:00:00|120|RM|NA|4426|Pave|NA|Reg|Lvl|AllPub|Inside|Gtl|CollgCr|Norm|Norm|TwnhsE|1Story|6|5|2004|2004|Gable|CompShg|VinylSd|VinylSd|BrkFace|169|Gd|TA|PConc|Gd|TA|Av|GLQ|662|Unf|0|186|GasA|Ex|Y|SBrkr|848|0|0|1|0|1|0|1|1|Gd|3|Typ|0|NA|Attchd|2004|RFn|2|420|TA|TA|Y|160|0|0|0|0|0|NA|NA|NA|0|WD|Normal|143000,00|N/a|20/5/2010
723|25/02/2018|06/11/2024 12:00:00|20|RL|70|8120|Pave|NA|Reg|Lvl|AllPub|Inside|Gtl|NAmes|Norm|Norm|1Fam|1Story|4|7|1970|1970|Gable|CompShg|MetalSd|MetalSd|None|0|TA|Gd|CBlock|TA|TA|No|ALQ|191|Unf|0|673|GasA|Ex|Y|SBrkr|864|0|0|0|0|1|0|3|1|TA|5|Typ|0|NA|Detchd|1994|Unf|2|463|TA|TA|Y|0|0|0|0|0|0|NA|NA|NA|0|WD|Normal|124500,00|N/a|20/7/2009
724|25/02/2018|06/12/2024 12:00:00|50|RL|60|8172|Pave|NA|Reg|Lvl|AllPub|Inside|Gtl|Edwards|Norm|Norm|1Fam|1.5Fin|4|6|1954|1972|Gable|CompShg|MetalSd|MetalSd|None|0|TA|TA|PConc|TA|TA|No|Unf|0|Unf|0|941|GasA|Ex|Y|SBrkr|997|473|0|0|0|2|0|4|1|TA|7|Typ|0|NA|Detchd|1958|Unf|1|548|TA|TA|Y|0|0|0|0|156|0|NA|NA|NA|0|WD|Normal|135000,00|N/a|20/5/2008
725|25/02/2018|06/13/2024 12:00:00|20|RL|86|13286|Pave|NA|IR1|Lvl|AllPub|Inside|Gtl|Edwards|Norm|Norm|1Fam|1Story|9|5|2007|2008|Hip|CompShg|CemntBd|CmentBd|Stone|340|Ex|TA|PConc|Ex|TA|No|GLQ|1234|Unf|0|464|GasA|Ex|Y|SBrkr|1698|0|0|1|0|2|0|3|1|Ex|8|Typ|1|Gd|Attchd|2007|Fin|3|768|TA|TA|Y|327|64|0|0|0|0|NA|NA|NA|0|WD|Normal|320000,00|N/a|20/2/2009
726|25/02/2018|06/14/2024 12:00:00|20|RL|60|6960|Pave|NA|Reg|Lvl|AllPub|Inside|Gtl|NAmes|Norm|Norm|1Fam|1Story|4|6|1970|1970|Gable|CompShg|HdBoard|Plywood|None|0|TA|TA|CBlock|TA|TA|No|ALQ|375|BLQ|239|250|GasA|TA|Y|SBrkr|864|0|0|0|0|1|0|3|1|Gd|5|Typ|0|NA|Detchd|1989|Unf|2|660|TA|TA|Y|96|0|0|0|0|0|NA|NA|Shed|500|WD|Normal|120500,00|N/a|20/11/2009
727|25/02/2018|06/15/2024 12:00:00|20|RL|NA|21695|Pave|NA|IR1|Lvl|AllPub|Corner|Gtl|Crawfor|Norm|Norm|1Fam|1Story|6|9|1988|2007|Hip|CompShg|Wd Sdng|Plywood|BrkFace|260|Gd|Gd|CBlock|Gd|TA|No|GLQ|808|Unf|0|72|GasA|Ex|Y|SBrkr|1680|0|0|1|0|2|0|3|1|Gd|5|Typ|1|Gd|Attchd|1988|Fin|2|540|TA|TA|Y|292|44|0|182|0|0|NA|NA|NA|0|WD|Normal|222000,00|N/a|20/12/2009
728|25/02/2018|06/16/2024 12:00:00|20|RL|64|7314|Pave|NA|Reg|Lvl|AllPub|Inside|Gtl|CollgCr|Norm|Norm|1Fam|1Story|7|5|2007|2007|Gable|CompShg|VinylSd|VinylSd|Stone|82|Gd|TA|PConc|Gd|TA|Av|GLQ|724|Unf|0|508|GasA|Ex|Y|SBrkr|1232|0|0|1|0|2|0|2|1|Gd|6|Typ|0|NA|Attchd|2007|RFn|2|632|TA|TA|Y|132|0|0|0|0|0|NA|NA|NA|0|WD|Normal|194500,00|N/a|20/2/2009
729|25/02/2018|06/17/2024 12:00:00|90|RL|85|11475|Pave|NA|Reg|Lvl|AllPub|Corner|Gtl|NAmes|Norm|Norm|Duplex|1Story|5|5|1958|1958|Gable|CompShg|VinylSd|VinylSd|BrkFace|95|TA|TA|CBlock|TA|TA|No|Unf|0|Unf|0|1584|GasA|TA|Y|SBrkr|1776|0|0|1|0|2|0|4|2|TA|9|Typ|0|NA|Detchd|1968|Unf|3|888|TA|TA|Y|0|25|0|0|0|0|NA|NA|NA|0|COD|Abnorml|110000,00|N/a|20/7/2009
730|25/02/2018|06/18/2024 12:00:00|30|RM|52|6240|Pave|Grvl|Reg|Lvl|AllPub|Inside|Gtl|IDOTRR|Norm|Norm|1Fam|1.5Fin|4|5|1925|1950|Gable|CompShg|MetalSd|MetalSd|None|0|TA|TA|CBlock|TA|TA|No|BLQ|152|Unf|0|628|GasA|TA|Y|FuseA|848|0|360|0|0|1|0|2|1|TA|5|Typ|0|NA|Detchd|1962|Unf|2|539|TA|TA|Y|0|23|112|0|0|0|NA|NA|NA|0|WD|Normal|103000,00|N/a|20/1/2009
731|25/02/2018|06/19/2024 12:00:00|120|RL|39|5389|Pave|NA|IR1|Lvl|AllPub|Inside|Gtl|StoneBr|Norm|Norm|TwnhsE|1Story|8|5|1995|1996|Gable|CompShg|CemntBd|CmentBd|None|0|Gd|TA|PConc|Gd|TA|No|GLQ|1180|Unf|0|415|GasA|Ex|Y|SBrkr|1616|0|0|1|0|2|0|2|1|Gd|5|Typ|1|TA|Attchd|1995|RFn|2|608|TA|TA|Y|237|152|0|0|0|0|NA|NA|NA|0|WD|Normal|236500,00|N/a|20/3/2010
732|25/02/2018|06/20/2024 12:00:00|80|RL|73|9590|Pave|NA|IR1|Lvl|AllPub|Corner|Gtl|Timber|Norm|Norm|1Fam|SLvl|7|5|2003|2003|Gable|CompShg|VinylSd|VinylSd|BrkFace|442|Gd|TA|PConc|Ex|TA|Av|GLQ|786|Unf|0|82|GasA|Ex|Y|SBrkr|1146|0|0|1|0|2|0|3|1|Gd|6|Typ|1|Gd|Attchd|2003|Fin|2|438|TA|TA|Y|160|22|0|0|0|0|NA|NA|NA|0|WD|Normal|187500,00|N/a|20/5/2007
733|25/02/2018|06/21/2024 12:00:00|60|RL|75|11404|Pave|NA|IR1|Lvl|AllPub|Inside|Gtl|CollgCr|Norm|Norm|1Fam|2Story|7|5|1998|1999|Gable|CompShg|VinylSd|VinylSd|BrkFace|202|Gd|TA|PConc|Gd|TA|Av|ALQ|252|Unf|0|901|GasA|Ex|Y|SBrkr|1153|878|0|0|0|2|1|3|1|Gd|8|Typ|1|TA|Attchd|1998|Fin|2|541|TA|TA|Y|192|84|0|0|0|0|NA|NA|NA|0|WD|Normal|222500,00|N/a|20/7/2008
734|25/02/2018|06/22/2024 12:00:00|20|RL|80|10000|Pave|NA|Reg|Lvl|AllPub|Corner|Gtl|Sawyer|Feedr|Norm|1Fam|1Story|5|6|1961|1983|Hip|CompShg|HdBoard|HdBoard|None|0|TA|TA|CBlock|TA|TA|No|BLQ|594|Unf|0|270|GasA|Ex|Y|SBrkr|1144|0|0|1|0|1|0|3|1|TA|6|Typ|1|TA|Attchd|1961|RFn|1|264|TA|TA|Y|165|0|0|0|0|0|NA|GdWo|Shed|400|WD|Normal|131400,00|N/a|20/3/2009
735|25/02/2018|06/23/2024 12:00:00|20|RL|NA|8978|Pave|NA|IR1|Lvl|AllPub|Corner|Gtl|Sawyer|Norm|Norm|1Fam|1Story|5|5|1968|1968|Gable|CompShg|Plywood|Plywood|None|0|TA|TA|PConc|TA|TA|No|Unf|0|Unf|0|948|GasA|TA|Y|SBrkr|948|0|0|0|0|1|0|3|1|TA|6|Typ|0|NA|Attchd|1968|Unf|1|300|TA|TA|Y|147|0|0|0|0|0|NA|NA|NA|0|WD|Family|108000,00|N/a|20/5/2007
736|25/02/2018|06/24/2024 12:00:00|75|RM|60|10800|Pave|NA|Reg|Lvl|AllPub|Inside|Gtl|OldTown|Norm|Norm|1Fam|2.5Unf|7|7|1914|1970|Gable|CompShg|Wd Sdng|Wd Sdng|None|0|TA|TA|BrkTil|Gd|TA|Mn|Rec|390|Unf|0|490|GasW|Fa|N|SBrkr|880|888|0|0|0|1|1|2|1|TA|6|Typ|2|TA|Detchd|1914|Unf|2|320|TA|TA|N|0|341|0|0|0|0|NA|NA|NA|0|WD|Normal|163000,00|N/a|20/10/2006
737|25/02/2018|06/25/2024 12:00:00|90|RL|60|8544|Pave|NA|Reg|Lvl|AllPub|Inside|Gtl|NAmes|Norm|Norm|Duplex|1Story|3|4|1950|1950|Gable|CompShg|Stucco|Stone|None|0|TA|TA|CBlock|NA|NA|NA|NA|0|NA|0|0|GasA|Gd|N|FuseF|1040|0|0|0|0|2|0|2|2|TA|6|Typ|0|NA|Detchd|1949|Unf|2|400|TA|TA|Y|0|0|0|0|0|0|NA|NA|NA|0|WD|Normal|93500,00|N/a|20/7/2006
738|25/02/2018|06/26/2024 12:00:00|60|RL|72|10463|Pave|NA|IR1|HLS|AllPub|CulDSac|Gtl|Gilbert|Norm|Norm|1Fam|2Story|8|5|2005|2005|Gable|CompShg|VinylSd|VinylSd|None|0|Gd|TA|PConc|Gd|TA|No|Unf|0|Unf|0|893|GasA|Ex|Y|SBrkr|901|900|0|0|0|2|1|3|1|Gd|8|Typ|1|Gd|Attchd|2005|Fin|3|800|TA|TA|Y|0|116|0|0|0|0|NA|NA|NA|0|WD|Normal|239900,00|N/a|20/6/2006
739|25/02/2018|06/27/2024 12:00:00|90|RL|60|10800|Pave|NA|Reg|Lvl|AllPub|Inside|Gtl|Edwards|Norm|Norm|Duplex|1Story|5|5|1987|1988|Gable|CompShg|Plywood|Plywood|None|0|TA|TA|CBlock|Gd|Gd|Gd|GLQ|1200|Unf|0|0|GasA|TA|Y|SBrkr|1200|0|0|3|0|3|0|3|1|TA|5|Typ|0|NA|NA|NA|NA|0|0|NA|NA|Y|120|0|0|0|0|0|NA|NA|NA|0|WD|Alloca|179000,00|N/a|20/3/2009
740|25/02/2018|06/28/2024 12:00:00|60|RL|65|9313|Pave|NA|IR1|Lvl|AllPub|Inside|Gtl|CollgCr|Norm|Norm|1Fam|2Story|7|5|2004|2004|Gable|CompShg|VinylSd|VinylSd|None|0|Gd|TA|PConc|Gd|TA|No|Unf|0|Unf|0|864|GasA|Ex|Y|SBrkr|864|864|0|0|0|2|1|3|1|Gd|7|Typ|0|NA|Attchd|2004|RFn|2|572|TA|TA|Y|187|56|0|0|0|0|NA|NA|NA|0|WD|Normal|190000,00|N/a|20/4/2009
741|25/02/2018|06/29/2024 12:00:00|70|RM|60|9600|Pave|Grvl|Reg|Lvl|AllPub|Inside|Gtl|OldTown|Norm|Norm|1Fam|2Story|5|7|1910|2002|Gable|CompShg|Wd Sdng|Wd Shng|None|0|TA|Gd|BrkTil|Fa|Fa|No|Unf|0|Unf|0|264|GasA|Ex|Y|SBrkr|768|664|0|0|0|2|0|2|1|TA|7|Typ|0|NA|Detchd|1910|Unf|2|360|TA|Gd|Y|270|0|112|0|0|0|NA|GdPrv|NA|0|WD|Abnorml|132000,00|N/a|20/5/2007
742|25/02/2018|06/30/2024 12:00:00|20|RL|65|6768|Pave|NA|IR1|Lvl|AllPub|Inside|Gtl|Sawyer|Feedr|Norm|1Fam|1Story|6|8|1961|1996|Hip|CompShg|HdBoard|HdBoard|None|0|TA|Gd|CBlock|TA|TA|Mn|GLQ|832|Unf|0|80|GasA|Gd|Y|SBrkr|912|0|0|1|1|1|0|3|1|Gd|5|Typ|0|NA|Detchd|1962|Unf|1|288|TA|TA|Y|168|0|0|0|0|0|NA|GdPrv|NA|0|WD|Normal|142000,00|N/a|20/5/2008
743|25/02/2018|07/01/2024 12:00:00|20|RL|65|8450|Pave|NA|Reg|Lvl|AllPub|Inside|Gtl|SawyerW|Norm|Norm|1Fam|1Story|7|5|2000|2001|Gable|CompShg|VinylSd|VinylSd|BrkFace|108|TA|TA|PConc|Gd|TA|No|Unf|0|Unf|0|1349|GasA|Ex|Y|SBrkr|1349|0|0|0|0|2|0|3|1|TA|6|Typ|0|NA|Attchd|2000|Unf|2|539|TA|TA|Y|120|55|0|0|0|0|NA|GdPrv|NA|0|WD|Normal|179000,00|N/a|20/12/2007
744|25/02/2018|07/02/2024 12:00:00|80|RL|70|12886|Pave|NA|IR1|Lvl|AllPub|Inside|Gtl|Sawyer|Norm|Norm|1Fam|SLvl|5|6|1963|1999|Gable|CompShg|HdBoard|HdBoard|None|0|TA|TA|CBlock|Gd|TA|Av|ALQ|444|Unf|0|76|GasA|Ex|Y|SBrkr|1464|0|0|0|1|2|0|3|1|TA|6|Min2|1|TA|Attchd|1997|RFn|2|480|TA|TA|Y|302|0|0|0|100|0|NA|NA|NA|0|WD|Normal|175000,00|N/a|20/10/2009
745|25/02/2018|07/03/2024 12:00:00|120|RL|41|5395|Pave|NA|IR1|HLS|AllPub|Inside|Gtl|StoneBr|Norm|Norm|TwnhsE|1Story|8|5|1993|1993|Gable|CompShg|HdBoard|HdBoard|None|0|Gd|TA|PConc|Gd|TA|No|GLQ|733|Unf|0|604|GasA|Gd|Y|SBrkr|1337|0|0|1|0|2|0|2|1|Gd|5|Typ|1|TA|Attchd|1993|RFn|2|462|TA|TA|Y|96|0|70|168|0|0|NA|NA|NA|0|WD|Normal|180000,00|N/a|20/10/2008
